lg,lat,lon
士別市,44.1759660664951,142.392400060057
比布町,43.8750601338394,142.471656275175
足寄町,43.2442234401681,143.546750238874
石狩市,43.5859009826181,141.423896468599
恵庭市,42.8971470864568,141.585830729499
洞爺湖町,42.5661295066754,140.819057243298
森町,42.1088651156221,140.572905228496
上ノ国町,41.8084126507218,140.095325019279
天塩町,44.8845377760538,141.747994037888
稚内市,45.4170905393652,141.676181866153
豊富町,45.1033949651183,141.778599640962
紋別市,44.334669948041,143.37218366193
遠軽町,44.0218720548609,143.497163771181
大空町,43.9155408070508,144.171387033476
新得町,43.0826784443182,142.832912172283
